行政區,土地面積,建物總面積,屋齡,樓層,總樓層,用途,房數,廳數,衛數,電梯,車位類別,交易日期,經度,緯度,總價
南區,13.27,143.66,15.03658528,9,14,住,4,2,2,1,無,2016/12/9,120.65603700000001,24.11889,720
西屯區,29.13,216.37,20.61096395,18,19,住,3,1,2,1,坡道平面,2018/3/8,120.601704,24.187097,1050
北區,17.75,140.33,23.21471351,8,17,住,4,2,2,1,坡道機械,2018/3/2,120.699026,24.153876999999998,470
西屯區,9.53,88.87,0.6050774489999999,6,22,住,1,2,1,1,坡道機械,2018/12/10,120.610251,24.194333,810
北屯區,26.16,120.25,0.227246282,3,12,住,2,2,1,1,坡道平面,2019/6/9,120.68261000000001,24.190038,770
西屯區,9.15,95.48,26.24010075,11,15,住,3,2,1,1,坡道機械,2017/10/18,120.615746,24.188419,545
西區,54.4,518.93,4.523022376,18,21,住,3,2,5,1,坡道平面,2018/10/15,120.66633999999999,24.141701,3010
南屯區,11.05,70.31,26.52758099,11,16,住,1,1,1,1,坡道機械,2019/5/25,120.64101699999999,24.143376999999997,406
北屯區,26.17,161.32,4.030199114,6,11,住,3,2,2,1,坡道平面,2019/10/19,120.726223,24.166228,846
西屯區,17.42,190.33,27.10801728,10,12,住,4,2,2,1,坡道平面,2018/6/30,120.608007,24.190404,830
北屯區,17.18,125.87,24.35368283,2,7,住,3,2,2,1,坡道平面,2016/11/6,120.665049,24.18719,600
北屯區,15.42,38.89,39.01517485,4,4,住,1,1,1,0,無,2018/7/24,120.699772,24.179314,130
大里區,14.13,87.04,25.57752726,12,13,住,1,2,1,1,無,2018/3/22,120.684918,24.119315,350
北區,28.27,143.09,36.46344552,4,7,住,3,2,2,1,無,2019/4/3,120.693382,24.161401,540
北區,2.86,30.13,9.566247082,9,17,住,1,1,1,1,無,2018/6/23,120.680178,24.162869,230
大雅區,23.76,132.57,1.661909553,2,12,住,2,2,1,1,坡道平面,2019/7/8,120.64883300000001,24.223835,725
西區,15.83,113.15,5.941258205,4,10,商,3,2,2,1,坡道平面,2017/5/12,120.675422,24.150763,838
北屯區,17.02,145.07,3.575706551,2,15,商,3,2,2,1,坡道機械,2019/5/14,120.72065400000001,24.179994,750
大里區,35.72,259.79,0.706380008,11,15,住,3,1,2,1,坡道平面,2019/3/11,120.67541399999999,24.102843,1870
南屯區,20.62,114.7,9.744211038,7,12,住,2,2,1,1,坡道平面,2017/2/27,120.64107299999999,24.141757000000002,880
南區,23.47,203.17,1.867252579,14,20,住,4,2,2,1,坡道平面,2018/9/14,120.651338,24.107638,1438
北屯區,16.9,138.16,23.28042328,2,13,住,3,2,2,1,無,2017/8/21,120.664282,24.185928,750
南區,8.6,87.51,20.53430255,7,21,住,2,2,1,1,無,2017/1/8,120.67369599999999,24.128195,370
大雅區,23.42,129.66,5.163692615,9,12,住,2,1,2,1,坡道機械,2019/4/25,120.652143,24.21956,670
